name,Manually Entered?,Image,Image Caption,Image Source,Rights holder,Type,Description,Authored by,Edited by,Website,Further reading (must first exist as a biblio item),History (Owned by),Date opened,Date closed,Approximate date (year estimate - ie. 20th century),Approximate date opened year,Approximate date month estimate (ie spring),Approximate date month,Approximate date day estimate (ie 'the start of the month'),Approximate date day (ie '1'),Timezone (check drop downs),To: Approximate date (year estimate - ie. 20th century),Approximate date closed year,Approximate date month estimate (ie spring),Approximate date month,Approximate date day estimate (ie 'the start of the month'),Approximate date day (ie '1'),Timezone (check drop downs),Approximation only (short description of date),Remove date ,Address (Country),Address 1,Address 2,Postal code,Town/City,County,Owned by,Person involved,Business relationships,Relationship type
The Hogarth Press,y,,,,,Press,Bought out by Chatto & Windus ini 1946; Reactivated under Penguin Random House in 2012,,,http://www.vintage-books.co.uk/about-us/Hogarth/,,,,,,1917,,,,,,,1946,,,,,,,,GB,,,,London,,,,,
Chatto & Windus,y,,,,,Press,,,,http://www.randomhouse.co.uk/about-us/about-us/companies/uk-companies-and-imprints/vintage-publishing/chatto-windus,,,,,,1855,,,,,,,,,,,,,,,GB,,,,London,,,,,
George Allen & Unwin,y,,,,,Press,Became an Australian independent; still ongoing in that form,,,http://www.allenandunwin.com/,,,,,,1871,,,,,,,1986,,,,,,,,GB,,,,London,,,,,
Penguin Books,y,,,,,Press,,,,http://www.penguin.com,,,,,,1935,,,,,,,,,,,,,,,GB,,,,London,,,,,
Faber & Faber,y,,,,,Press,,,,http://www.faber.co.uk/,,,,,,1929,,,,,,,,,,,,,,,GB,,,,London,,,,,
Grant Richards,y,,,,,Press,,,,,,,,,,1900,,,,,,,1935,,,,,,,,GB,,,,London,,,,,
William Heinemann,y,,,,,Press,Now an educational publisher under the name of Pearson,,,http://www.pearsonschoolsandfecolleges.co.uk/,,,,,,1890,,,,,,,,,,,,,,,GB,,,,London,,,,,
J. M. Dent,y,,,,,Press,Now forms an imprint of Orion Books,,,https://www.orionbooks.co.uk/,,,,,,1888,,,,,,,,,,,,,,,GB,,,,London,,,,,
George Harrap,y,,,,,Press,Also had a Bombay office,,,,,,,,,1901,,,,,,,2008,,,,,,,,GB,,,,London,,,,,
T. N. Foulis,,,,,,,,,,http://www.tnfoulis.com/,,,,,,1904,,,,,,,1925,,,,,,,,GB,,,,Edinburgh,,,,,
