Title,Author,Description,Date Created (month/date/year),Themes,Related to ,Image (dropboxfolder),Caption,Source,Rights holder,Library,Identifier,Links to digitized material
Kew Gardens,Virginia Woolf,"Book files: editorial, production and publicity series. ",,,Kew Gardens,https://www.dropbox.com/sh/lzxmzux87fwx0hm/AAAhLLZo-jUdLZsyqUjW0xFLa?dl=0,UoR_MS 2750_560,Hogarth Press Archive (University of Reading) MS 2750_560,Penguin Random House Archive and Library. Society of Authors as the literary representative of the estate of Virginia Woolf.,University of Reading,,
Stavrogin's Confession,Fyodor Dostoevsky,"Book files: editorial, production and publicity series. ",,,Stavrogin's Confession,https://www.dropbox.com/sh/l2kmqk9mz3o9b1q/AAA-lqJ9NnWMhNv7ChNCzGzWa?dl=0,UoR_MS 2750_72,Hogarth Press Archive (University of Reading) MS 2750_72,Penguin Random House Archive and Library ,University of Reading,,
Twelve Original Woodcuts,Roger Fry,"Book files: editorial, production and publicity series. ",,,Twelve Original Woodcuts,https://www.dropbox.com/sh/tr2hfytrfkz92t9/AAC-YG974BRPW3fxouJDFBLFa?dl=0,UoR_MS 2750_120,Hogarth Press Archive (University of Reading) MS 2750_120,Penguin Random House Archive and Library ,University of Reading,,
The Note-Books of Anton Tchekhov together with Reminiscences of Tchekhov,Maxim Gorky,"Book files: editorial, production and publicity series. ",,,The Note-Books of Anton Tchekhov together with Reminiscences of Tchekhov,https://www.dropbox.com/sh/wlcu19scf51cfo5/AACV9dBrtYc4t_K-mawt60kra?dl=0,UoR_MS 2750_483,Hogarth Press Archive (University of Reading) MS 2750_483,Penguin Random House Archive and Library ,University of Reading,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Stories from the Old Testament Retold by Logan Pearsall Smith,Logan Pearsall Smith,"Order book Vol I 1920-1922. Notebook containing handwritten orders by Leonard Woolf. Lists date, copies, recipient, despatch date, number of copies, price, payment date",4/23/1920,,Stories from the Old Testament Retold by Logan Pearsall Smith,https://www.dropbox.com/s/3ioz34rprm5rvuo/MS%202750_A_15_2.jpg?dl=0,UoR_MS 2750_A_15_2,Hogarth Press Archive (University of Reading) MS 2750_A_15,Penguin Random House Archive and Library ,University of Reading,,
Stories from the Old Testament Retold by Logan Pearsall Smith,Logan Pearsall Smith,"Order book Vol I 1920-1922. Notebook containing handwritten orders by Leonard Woolf. Lists date, copies, recipient, despatch date, number of copies, price, payment date",5/8/1920,,Stories from the Old Testament Retold by Logan Pearsall Smith,https://www.dropbox.com/s/tro7zw1wy2jpt7x/MS%202750_A_15_3.jpg?dl=0,UoR_MS 2750_A_15_3,Hogarth Press Archive (University of Reading) MS 2750_A_15,Penguin Random House Archive and Library ,University of Reading,,
Stories from the Old Testament Retold by Logan Pearsall Smith,Logan Pearsall Smith,"Order book Vol I 1920-1922. Notebook containing handwritten orders by Leonard Woolf. Lists date, copies, recipient, despatch date, number of copies, price, payment date",9/7/1920,,Stories from the Old Testament Retold by Logan Pearsall Smith,https://www.dropbox.com/s/5zxjhyf0ve7pdhq/MS%202750_A_15_4.jpg?dl=0,UoR_MS 2750_A_15_4,Hogarth Press Archive (University of Reading) MS 2750_A_15,Penguin Random House Archive and Library ,University of Reading,,
Stories from the Old Testament Retold by Logan Pearsall Smith,Logan Pearsall Smith,"Order book Vol I 1920-1922. Notebook containing handwritten orders by Leonard Woolf. Lists date, copies, recipient, despatch date, number of copies, price, payment date",4/29/1921,,Stories from the Old Testament Retold by Logan Pearsall Smith,https://www.dropbox.com/s/3yfokoef7cq76os/MS%202750_A_15_5.jpg?dl=0,UoR_MS 2750_A_15_5,Hogarth Press Archive (University of Reading) MS 2750_A_15,Penguin Random House Archive and Library ,University of Reading,,
,,,,,,,,,,,,
Paris A Poem,Hope Mirlees,"Order book Vol I 1920-1922. Notebook containing handwritten orders by Leonard Woolf. Lists date, copies, recipient, despatch date, number of copies, price, payment date",4/25/1920,,Paris A Poem,https://www.dropbox.com/s/93deo5baqinaw8o/MS%202750_A_15_8.jpg?dl=0,UoR_MS 2750_A_15_8,Hogarth Press Archive (University of Reading) MS 2750_A_15,Penguin Random House Archive and Library ,University of Reading,,
Paris A Poem,Hope Mirlees,"Order book Vol I 1920-1922. Notebook containing handwritten orders by Leonard Woolf. Lists date, copies, recipient, despatch date, number of copies, price, payment date",5/14/1920,,Paris A Poem,https://www.dropbox.com/s/j9qpeo8ozzsakka/MS%202750_A_15_9.jpg?dl=0,UoR_MS 2750_A_15_9,Hogarth Press Archive (University of Reading) MS 2750_A_15,Penguin Random House Archive and Library ,University of Reading,,
Paris A Poem,Hope Mirlees,"Order book Vol I 1920-1922. Notebook containing handwritten orders by Leonard Woolf. Lists date, copies, recipient, despatch date, number of copies, price, payment date",,,Paris A Poem,https://www.dropbox.com/s/xhj6v7et8dwtbf7/MS%202750_A_15_10.jpg?dl=0,UoR_MS 2750_A_15_10,Hogarth Press Archive (University of Reading) MS 2750_A_15,Penguin Random House Archive and Library ,University of Reading,,
,,,,,,,,,,,,
