Manually Entered?,Type,Description,Date created,Approximate Date?,"Related to
",Image,Image Caption,Image Source,Rights Holder,Library,PDF upload,Links to digitized material,Leave blank
,Artwork,"Artwork file for 'Nunwell symphony' by C Aspinall-Oglander, cover by Cavendish Morton.",1945,,Nunwell Symphony|Cecil Aspinall-Oglander|Cavendish Morton ,CW AW_A_10_77.jpg ,UoR_CW AW/A/10 ,Chatto & Windus Archive (University of Reading) CW AW/A/10 ,© estate of the artist ,University of Reading,,,
,Artwork,"Artwork file for 'The standard edition of the complete psychological works of Sigmund Freud'. Photographs, including one original sepia photograph of Freud, line drawings, paste up, proofs",1953-1974,y,The standard edition of the complete psychological works of Sigmund Freud,"CW AW_F_25_78.jpg|CW AW_F_25_79.jpg|CW AW_F_25_80.jpg|CW AW_F_25_81.jpg|
CW AW_F_25_82.jpg|CW AW_F_25_83.jpg|CW AW_F_25_84.jpg|CW AW_F_25_85.jpg|
CW AW_F_25_86.jpg|CWAW_F_25_87.jpg|CW AW_F_25_88.jpg|CW AW_F_25_89.jpg|CW AW_F_25_90.jpg
",UoR_CW AW/F/25,Chatto & Windus Archive (University of Reading) CW AW/F/25,Penguin Random House Archive & Library ,University of Reading,,,
,Artwork,"Artwork file for 'Pack my bag: a self portrait' by Henry Green. One piece of original artwork, photograph, proofs.",,,Pack My Bag: A Self-Portrait|Henry Green,CW AW_G_10_75.jpg|CW AW_G_10_76.jpg,UoR_CW AW/G/10,Chatto & Windus Archive (University of Reading) CW AW/G/10,Penguin Random House Archive & Library ,University of Reading,,,
,Artwork,"Artwork file for 'Doting' by Henry Green, with designs by Lynton Lamb. Four pieces of original artwork, proofs.",1952,,Doting|Henry Green|Lynton Lamb,CW AW_G_11_58.jpg|CW AW_G_11_59.jpg|CW AW_G_11_60.jpg|CW AW_G_11_61.jpg|CW AW_G_11_62.jpg,UoR_CW AW/G/11,Chatto & Windus Archive (University of Reading) CW AW/G/11,© estate of the artist ,University of Reading,,,
,Artwork,"Artwork file for 'Blindness' by Henry Green, with designs by Angelica Garnett",1977,,Blindness|Henry Green|Angelica Garnett,CW AW_G_12_70.jpg|CW AW_G_12_71. jpg|CW AW_G_12_72. jpg|CW AW_G_12_73. jpg|CW AW_G_12_74. jpg,UoR_CW AW/G/12,Chatto & Windus Archive (University of Reading) CW AW/G/12,Henrietta Garnett,University of Reading,,,
,Artwork,Artwork file for 'Living' by Henry Green,,,Living|Henry Green,CW AW_G_13_98.jpg|CW AW_G_12_99.jpg ,UoR_CW AW/G/13,Chatto & Windus Archive (University of Reading) CW AW/G/13,Penguin Random House Archive & Library ,University of Reading,,,
,Artwork,"Artwork file for 'Concluding' by Henry Green, with designs by Mona Moore",,,Concluding|Henry Green|Mona Moore,CW AW_G_15_91.jpg|CW AW_G_15_92.jpg|CW AW_G_15_93.jpg|CW AW_G_15_94.jpg|CW AW_G_15_95.jpg|CW AW_G_15_96.jpg,UoR_CW AW/G/15,Chatto & Windus Archive (University of Reading) CW AW/G/15,© estate of the artist ,University of Reading,,,
,Artwork,Artwork file for 'Party Going' by Henry Green,,,Party Going|Henry Green,CW AW_G_17_97.jpg ,UoR_CW AW/G/17,Chatto & Windus Archive (University of Reading) CW AW/G/17,Penguin Random House Archive & Library ,University of Reading,,,
,Artwork,"Artwork file for 'Caught' by Henry Green, with designs by Leonard Rosoman",,,Caught|Henry Green|Leonard Rosoman,CW AW_G_18_57.jpg ,UoR_CW AW/G/18,Chatto & Windus Archive (University of Reading) CW AW/G/18,National Portrait Gallery,University of Reading,,,
,Artwork,Artwork file for 'The Memorial: Portrait of a Family' by Christopher Isherwood,,,The Memorial: Portrait of a Family|Christopher Isherwood,CW AW_I_12_54.jpg|CW AW_I_12_55.jpg|CW AW_I_12_56.jpg,UoR_CW AW/I/12,Chatto & Windus Archive (University of Reading) CW AW/I/12,Penguin Random House Archive & Library ,University of Reading,,,
,Artwork,"Artwork file for 'Streamers Waving' by C. H. B. Kitchin, jacket illustration by John Sergeant.",1973,,Streamers Waving|C. H. B. Kitchin|John Sergeant,"CW AW_K_6_101.jpg|CW AW_K_6_102.jpg|CW AW_K_6_103.jpg|CW AW_K_6_104.jpg|CW AW_K_6_105.jpg|
CW AW_K_6_106.jpg|CW AW_K_6_107.jpg",UoR_CW AW/K/6,Chatto & Windus Archive (University of Reading) CW AW/K/6,Penguin Random House Archive & Library|© estate of the artist ,University of Reading,,,
,Artwork,Artwork file for 'Sado' by William Plomer. One piece of original artwork plus proof.,,,Sado|William Plomer,CW AW_P_14_66. jpg|CW AW_P_14_67.jpg,UoR_CW AW/P/14,Chatto & Windus Archive (University of Reading) CW AW/P/14,© estate of the artist ,University of Reading,,,
,Artwork,Artwork file for 'Turbott Wolfe' by William Plomer,,,Turbott Wolfe|William Plomer,CW AW_P_15_63.jpg|CW AW_P_15_64.jpg|CW AW_P_15_65.jpg,UoR_CW AW/P/15,Chatto & Windus Archive (University of Reading) CW AW/P/15,© estate of the artist ,University of Reading,,,
,Artwork,"Artwork file for 'The Village in the Jungle' by Leonard Woolf. One piece of original artwork, photographs, paste up, proofs.",1961,,The Village in the Jungle|Leonard Woolf,CW AW_W_21_1.jpg|CW AW_W_21_2. jpg|CW AW_W_21_3. jpg|CW AW_W_21_4. jpg|CW AW_W_21_5. jpg ,UoR_CW AW/W/21,Chatto & Windus Archive (University of Reading) CW AW/W/21,Penguin Random House Archive & Library,University of Reading,,,
,Artwork,"Artwork file for 'Three Guineas' by Virginia Woolf, cover design by Vanessa Bell. Photograph, proof.",,,Three Guineas|Virginia Woolf|Vanessa Bell,CW AW_W_39_14.jpg,UoR_CW/AW/W/39,Chatto & Windus Archive (University of Reading) CW AW/W/39,Henrietta Garnett,University of Reading,,,
,Artwork,Artwork file for 'Flush' by Virginia Woolf,1933,,Flush|Virginia Woolf,"CW AW_W_37_21.jpg|CW AW_W_37_22.jpg|CW AW_W_37_23.jpg|CW AW_W_37_24.jpg|CW AW_W_37_25.jpg|
CW AW_W_37_26.jpg|CW AW_W_37_27.jpg|CW AW_W_37_28.CW AW_W_37_29.jpg|CW AW_W_37_30.jpg|CW AW_W_37_31.jpg|",UoR_CW/AW/W/37,Chatto & Windus Archive (University of Reading) CW AW/W/37,Penguin Random House Archive & Library|Society of Authors,University of Reading,,,
y,Artwork,"Artwork file for 'The problems of Lieutenant Knap' by Jiri Mucha, design by Michael Ayrton",,,The problems of Lieutenant Knap|Jira Mucha|Michael Ayrton,CW AW_M_33_100.jpg,UoR_CW/AW/M/33,Chatto & Windus Archive (University of Reading) CW AW/M/33,"Michael Ayrton Permissions 
Michael Ayrton Productions Ltd.

",University of Reading,,,
,Publishers' records,"Book files: editorial, production and publicity series.",1927-1954,,Kew Gardens|Virginia Woolf|Vanessa Bell,MS 2750_560_141.jpg|MS 2750_560_142.jpg|MS 2750_560_152.jpg|MS 2750_560_153.jpg| MS 2750_560_158.jpg|MS 2750_560_159.jpg|MS 2750_560_160.jpg|MS 2750_560_161.jpg|MS 2750_560_162.jpg|MS 2750_560_163.jpg|MS 2750_560_164.jpg|MS 2750_560_165.jpg|MS 2750_560_166.jpg,UoR_MS 2750_560,Hogarth Press Archive (University of Reading) MS 2750_560,Penguin Random House Archive and Library ,University of Reading,,,
,Publishers' records,"Book files: editorial, production and publicity series.",1946-1952,,Twelve Original Woodcuts|Roger Fry,"MS 2750_120_167.jpg|MS 2750_120_168.jpg|MS 2750_120_169.jpg|MS 2750_120_170.jpg|
MS 2750_120_171.jpg|MS 2750_120_172.jpg|MS 2750_120_173.jpg|MS 2750_120_174.jpg|
MS 2750_120_175.jpg|MS 2750_120_176.jpg|MS 2750_120_177.jpg|MS 2750_120_178.jpg|
MS 2750_120_179.jpg|MS 2750_120_180.jpg|MS 2750_120_181.jpg|MS 2750_120_182.jpg|
MS 2750_120_183.jpg|MS 2750_120_184.jpg|MS 2750_120_185.jpg|MS 2750_120_186.jpg|
MS 2750_120_187.jpg|MS 2750_120_188.jpg|MS 2750_120_189.jpg|MS 2750_120_190.jpg|
MS 2750_120_191.jpg|MS 2750_120_192.jpg",UoR_MS 2750_120,Hogarth Press Archive (University of Reading) MS 2750_120,Penguin Random House Archive and Library ,University of Reading,,,
