title,Manually Entered?,Image,Image Caption,Image Source,Rights Holder,Description,Author,Editor,Translator,Type,Original Language,Copyright Status,Copyright Date
Two Stories,y,6359.jpg,"front cover of ""Two Stories""",E.J. Pratt Library,Penguin Random House Archive and Library,"This first literary publication by the Press consists of a story by Leonard, called ""Three Jews"" and another by Virginia, ""The Mark on the Wall."" As the first book produced by the Press, Two Stories has received a great deal of critical attention since it embodies the collaborative effort between the Woolfs that formed the Press's reputation. It contains four woodcut illustrations by Dora Carrington, who is not credited on the book itself. It also embodies a complete circuit of production undertaken by the Woolfs, everything from the writing of the stories to the making of the books. Leonard did the presswork and Virginia the typesetting, and it is this publication that has given rise to the popular understanding of the Press as a venture, despite the fact that it was one of the only books to have been produced this way.",Virginia Woolf|Leonard Woolf,,,Short Fiction,English,,1917
Prelude,y,4601.jpg,"dust jacket of ""Prelude""",E.J. Pratt Library,Penguin Random House Archive and Library,"The second literary publication of the Press, Prelude was hand-printed by the Woolfs. The cover illustration was a matter of some disagreement. Mansfield provided a block that the Woolfs strongly disliked, so they printed some copies with it and some without. The story itself focuses on family life and is written in the witty and impressionistic style for which Mansfield became known. The single story was later included in Mansfield's collection Bliss and Other Stories, which was published by Constable in 1920.",Katherine Mansfield,,,Short Fiction,English,,1918
Poems by C. N. Sidney Woolf,,,,,,"A commemorative volume containing the poems of Cecil Woolf. Not printed for sale but as a memorial tribute, this is one of the Press's only ""privately printed"" publications and is now extremely rare.",Cecil Nathan Sidney Woolf,,,Poetry,English,,1918
Kew Gardens,,4599.jpg,"dust jacket of ""Kew Gardens""",E.J. Pratt Library,Penguin Random House Archive and Library,"Often praised as one of the quintessential Hogarth Press publications, Woolf's Short Fiction about a walk through Kew Gardens is here adorned with Vanessa Bell's woodcuts. The combination of the art and the writing was thought beautiful and innovative and received a glowing review in the TLS, marking one of the most important successes of the Press's early days.",Virginia Woolf,,,Short Fiction,English,,1919
The Mark on the Wall,y,,,,,This book contains only the title story. It is a separate edition of Virginia Woolf's contribution to Two Stories.,Virginia Woolf,,,Short Fiction,English,,1919
Poems,y,,,,,"Eliot's second book of poetry after Prufrock and Other Observations, which had been published by The Egoist in 1917. This collection contains some of the Sweeney poems, ""Gerontion,"" ""Whispers of Immortality"" and ""Dans le Restaurant"" among others. The book did remarkably well and was out of print by the middle of 1920. A number of Eliot's letters to and about the Woolfs regarding the publication survive and can be found in The Letters of T. S. Eliot (1988).",T. S. Eliot,,,Poetry,English,,1919
The Critic in Judgment or Belshazzar of Baronscourt,,6331.jpg,"front cover of ""The Critic in Judgment or Belshazzar of Baronscourt""",E.J. Pratt Library,Penguin Random House Archive and Library,"This dramatic dialogue provides a kind of comical assessment of the work of the aesthetic critic, although it also contains some of Murry's later more seriously articulated preoccupations with the nature of critical judgment. Murry was himself a prominent critic and the editor for a time of the Athenaeum and was the husband of Katherine Mansfield.",John Middleton Murry,,,Drama,English,,1919
Stories from the Old Testament Retold by Logan Pearsall Smith,y,,,,,"This book is a collection of short prose retellings of ""incidents in the lives of the Old Testament worthies."" (5). The collection aims to offer a ""simple, reverent, but at the same time modern and psychological"" portrayal of Biblical history, for the use of Sunday school students as well as their teachers (5). The psychologizing of Biblical characters seems fairly conjectural, and could potentially classify this as a piece of fictionalized biographical writing not dissimilar in tone and intent from the World-Makers and World-Shakers series",Logan Pearsall Smith,,,Religion,English,,1920
The Story of the Siren,y,,,,,"The Story of the Siren is a single Short Fiction by Forster bound in green Japanese paper. It is a fictional travel narrative in which young man's notebook containing his Fellowship Dissertation falls into the Mediterranean Sea. A local man dives in to rescue it and they form a friendship. The imagery can be fruitfully compared to Woolf's story ""Blue and Green"" in Monday or Tuesday.",E. M. Forster,,,Short Fiction,English,,1920
Paris a Poem,y,4608.jpg,"dust jacket of ""Paris A Poem""",E.J. Pratt Library,Penguin Random House Archive and Library,"An experimental poem about wandering through Paris (with particularly interesting typography) praised by Julia Briggs as ""modernism's lost masterpiece, a work of extraordinary energy and intensity, scope and ambition, written in a confidently experimental and avant-garde style.""",Hope Mirrlees,,,Poetry,English,,1920
Reminiscences of Leo Nicolayevitch Tolstoi,y,,,,,"Gorky's Reminiscences are his own fragmentary notes and observations collected from his time as Tolstoy's friend. He claims in the preface not to have edited or attempted to finish these scraps of biographical insight since he deems them somehow necessarily unfinished. The book provides an interesting example of the use of fragmentary form to convey important insights about character. As a biographer, Gorky is neither hero-worshipping nor vilifying but attempts instead to convey Tolstoi's complexity by resisting simple narrative conclusions.",Maxim Gorky,,,Biography,Russian,,1920
Stories of the East,,6458.jpg,"Dora Carrington, front cover of ""Stories of the East""",E.J. Pratt Library,Gill Coleridge,"A collection of Short Fiction about Leonard's time working in Ceylon, these stories offer a dark picture of colonialism and express a deep unease about the state of international relations under colonial powers. Although the book was published in a small run of about 300 copies and remained out of print until very recently, the stories provide an interesting point of comparison to many of Leonard Woolf's other writings and also to some of the political writings published by the Press",Leonard Woolf,,,Short Fiction,English,,1921
Monday or Tuesday,y,,,,,"A collection of eight of Virginia Woolf's Short Fiction, including ""Blue and & Green,"" ""Monday or Tuesday,"" ""A Haunted House,"" ""The Mark on the Wall,"" ""A Society,"" ""The String Quartet,"" ""An Unwritten Novel"" and ""Kew Gardens,"" this book is one of the worst examples of printing that the Woolfs produced. It was printed at the Prompt Press with Leonard's assistance, and is so badly inked that the woodcut illustrations, designed by Vanessa Bell, bleed through the paper obscuring the text.",Virginia Woolf,,,Short Fiction,English,,1921
Poems,,6355.jpg,"front cover of ""Poems""",E.J. Pratt Library,Penguin Random House Archive and Library,"A collection of poems by Canadian poet and friend of Siegfried Sassoon, this is the only book written by a Canadian to be published by the Press.",Frank Prewett,,,Poetry,English,,1921
Poems,,,,,,"This is a collection of Clive Bell's early poems (an art critic who was a key member of the Bloomsbury group and who was married to Vanessa Bell). The poems had been privately published and circulated by another press in 1917, and Bell added four new poems to this set (Willis 75).",Clive Bell,,,Poetry,English,,1921
